Project Name,Checkpoint Name,Created On,FileName,Lines,Statements,BranchStatements,LineswithComments,ClassesDefined,ClassMethodsImplemented,MethodStatements,LineNumberofMostComplexFunction,MaximumComplexity,LineNumberofDeepestBlock,MaximumBlockDepth,AverageBlockDepth,AverageComplexity,Functions,Statementsatblocklevel0,Statementsatblocklevel1,Statementsatblocklevel2,Statementsatblocklevel3,Statementsatblocklevel4,Statementsatblocklevel5,Statementsatblocklevel6,Statementsatblocklevel7,Statementsatblocklevel8,Statementsatblocklevel9
tridameasures,Baseline,04 Apr 2016,packages/Configuration/HMParameters.h,18,10,0,0,1,0,0,,0,11,1,0.5,0,0,5,5,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/Configuration/MonitorParameters.h,13,6,0,0,1,0,0,,0,8,1,0.5,0,0,3,3,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/Configuration/PluginParameters.h,15,8,0,0,1,0,0,,0,9,1,0.5,0,0,4,4,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/Configuration/StructParameters.h,16,9,0,0,1,0,0,,0,9,1,0.56,0,0,4,5,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/Configuration/t_Configuration.cpp,65,35,1,4,0,0,0,16,2,21,2,1.29,1.5,2,9,7,19,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/Configuration/TCPUParameters.h,17,9,0,0,1,0,0,,0,11,1,0.44,0,0,5,4,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/Configuration/TriggerParameters.h,20,13,0,0,1,0,0,,0,9,1,0.69,0,0,4,9,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/Configuration/TSVParameters.h,15,8,0,0,1,0,0,,0,9,1,0.5,0,0,4,4,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/data_consistency/data_consistency.hpp,30,7,0,3,0,0,0,,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/data_consistency/t_data_consistency.cpp,33,18,0,0,0,0,0,7,1,23,2,0.94,1,1,5,9,4,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/datacard/datacard.hpp,15,11,0,0,0,0,0,,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/datacard/detector.hpp,486,184,10,4,3,44,55,456,3,20,3,1.27,1.16,6,19,101,59,5,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/datacard/detector_geometry.hpp,79,28,0,3,1,7,6,18,1,27,2,0.96,1,1,7,15,6,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/datacard/em.hpp,173,65,0,3,1,19,18,25,1,49,2,1.15,1,1,8,39,18,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/datacard/fcm_endpoint.hpp,78,26,0,3,1,5,4,18,1,26,2,0.81,1,2,9,13,4,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/datacard/fcm_endpoints.hpp,95,41,4,3,1,6,12,33,2,39,3,1.24,1.43,1,9,15,15,2,0,0,0,0,0,0
